#F   AtomicConstants.dat                                                
#UT  Atomic Constants
#U3W Sheet_Stand
#C   Atomic Constants from http://www.esrf.fr/cgi-bin/periodic   
#UD  Atomic Constants
#UD  
#UD  This file contains information about atomic constants:
#UD  Atomic Radius, Covalent Radius, Atomic Mass, Boiling Point, Melting Point, Density,
#UD  Atomic Volume, Coherent Scattering Length, Incoherent X-section, Absorption@1.8A 
#UD  The element name is stored under the DABAX keyword #UNAME 
#UD  
#UD  The data have been taken from the "xelem" periodic table written in tcl-tk by:
#UD     Przemek Klosowski (przemek@rrdstrad.nist.gov)
#UD     Reactor Division (bldg. 235), E111
#UD     National Institute of Standards and Technology
#UD     Gaithersburg, MD 20899, USA. Tel (301) 975 6249
#UD  
#UD A WWW interface to these data is available at: http://www.esrf.fr/cgi-bin/periodic
#UD  
#UD  Non available values have been set to -0.01 (dummy)
#UD  
#UD  The scan #S 1000 contains the information for all the elements, where the first 
#UD  column is the Atomic Number Z. This is useful to make plots of the values of a given 
#UD  variable as a function of Z.
#UD  


#S 1  H 
#UNAME Hydrogen
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.79  0.32 1.00794 20.268 14.025 0.0899 14.4 -0.374 79.9 0.3326 

#S 2  He 
#UNAME Helium
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.49  0.93 4.002602 4.215 0.95 0.1787 0.0 0.326 0.0 0.00747 

#S 3  Li 
#UNAME Lithium
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
2.05  1.23 6.941 1615 453.7 0.53 13.10 -0.190 0.91 70.5 

#S 4  Be 
#UNAME Beryllium
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
1.40  0.90 9.012182 2745 1560.0 1.85 5.0 0.779 0.005 0.0076 

#S 5  B 
#UNAME Boron
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
1.17  0.82 10.811 4275 2300.0 2.34 4.6 0.530 1.7 767.0 

#S 6  C 
#UNAME Carbon
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.91  0.77 12.011 4470.0 4100.0 2.62 4.58 0.6648 0.001 0.0035 

#S 7  N 
#UNAME Nitrogen
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.75  0.75 14.00674 77.35 63.14 1.251 17.3 0.936 0.49 1.90 

#S 8  O 
#UNAME Oxygen
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.65  0.73 15.9994 90.18 50.35 1.429 14.0 0.5805 0.000 0.00019 

#S 9  F 
#UNAME Fluorine
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.57  0.72 18.9984032 84.95 53.48 1.696 17.1 0.5654 0.0008 0.0096 

#S 10  Ne 
#UNAME Neon
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
0.51  0.71 20.1797 27.096 24.553 0.901 16.7 0.4547 0.008 0.039 

#S 11  Na 
#UNAME Sodium
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
2.23  1.54 22.989768 1156 371.0 0.97 23.7 0.363 1.62 0.530 

#S 12  Mg 
#UNAME Magnesium
#N 10
#L AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]
1.72  1.36 24.3050 1363 922 1.74 13.97 0.5375 0.077 0.063 

#S 13  Al 
#UNAME Aluminum
#N 10
