#F FluorYield_Krause.dat
#UT Atomic Radiative Yields for K and L Shells (M.O. Krause)
#C  This file has been created using the mucal.f subroutine
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/expg/subgroups/theory/DABAX/dabax.html
#U3W Sheet_Stand
#UD Atomic Radiative Yields for K and L Shells (M.O. Krause)
#UD 
#UD This data set contains data calculated by using mucal (A subroutine to 
#UD calculate x-ray crossections) by Pathikrit Badyopadhyay.
#UD 
#UD data is available for all the elements from 1 to 94.
#UD 
#UD REFERENCE
#UD 
#UD  M.O. Krause "Atomic Radiative and Raduiattionless Yields for K and
#UD  L Shells", J. Phys. Chem. Ref. Data, Vol. 8, No 2, 1979, pag 307-327
#UD 
#UD The mucal program can be found at: 
#UD    http://xafsdb.iit.edu:80/exafs-database/programs/mcmaster/
#UD and a Periodic Table WWW interface is at:
#UD    http://www.csrri.iit.edu/periodic-table.html
#UD 
#UD Column description:
#UD      1:FluorescenceY(K)
#UD      2:FluorescenceY(L1)
#UD      3:FluorescenceY(L2)
#UD      4:FluorescenceY(L3)
#UD 
#UD The scan #S 1000 contains the information for all the elements, where the first 
#UD column is the Atomic Number Z. This is useful to make plots of the values of a 
#UD  given variable as a function of Z.
#UD 
#S   1 H 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
   0.  0.  0.  0.
#S   2 He
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
   0.  0.  0.  0.
#S   3 Li
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
   0.  0.  0.  0.
#S   4 Be
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
   0.  0.  0.  0.
#S   5 B 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
     1.70000E-03  0.  0.  0.
#S   6 C 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
     2.80000E-03  0.  0.  0.
#S   7 N 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
     5.20000E-03  0.  0.  0.
#S   8 O 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
     8.30000E-03  0.  0.  0.
#S   9 F 
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
     1.30000E-02  0.  0.  0.
#S  10 Ne
#N 4
#L FluorescenceY(K)  FluorescenceY(L1)  FluorescenceY(L2)  FluorescenceY(L3)
