#F XREmission.dat 
#UT X-Ray Emission Lines, K-level and L-level emission lines in KeV
#U3W Sheet_Stand
#C This file has been created using XREmission.tcl
#UD X-Ray Emission Lines, K-level and L-level emission lines in KeV
#UD 
#UD  Values are from J. A. Bearden, "X-Ray Wavelengths", Review of Modern
#UD  Physics, (January 1967) pp. 86-99, unless otherwise noted.
#UD 
#C
#S 3 Li
#N 1
#L Ka1  
  0.0543
#S 4 Be
#N 1
#L Ka1  
  0.1085
#S 5 B
#N 1
#L Ka1  
  0.1833
#S 6 C
#N 1
#L Ka1  
  0.277
#S 7 N
#N 1
#L Ka1  
  0.3924
#S 8 O
#N 1
#L Ka1  
  0.5249
#S 9 F
#N 1
#L Ka1  
  0.6768
#S 10 Ne
#N 2
#L Ka1  Ka2  
  0.8486  0.8486
#S 11 Na
#N 3
#L Ka1  Ka2  Kb1  
  1.04098  1.04098  1.0711
#S 12 Mg
#N 3
#L Ka1  Ka2  Kb1  
  1.25360  1.25360  1.3022
#S 13 Al
#N 3
#L Ka1  Ka2  Kb1  
  1.48670  1.48627  1.55745
#S 14 Si
#N 3
#L Ka1  Ka2  Kb1  
  1.73998  1.73938  1.83594
#S 15 P
#N 3
#L Ka1  Ka2  Kb1  
  2.0137  2.0127  2.1391
#S 16 S
#N 3
#L Ka1  Ka2  Kb1  
  2.30784  2.30664  2.46404
#S 17 Cl
#N 3
#L Ka1  Ka2  Kb1  
  2.62239  2.62078  2.8156
#S 18 Ar
#N 3
#L Ka1  Ka2  Kb1  
  2.95770  2.95563  3.1905
#S 19 K
#N 3
#L Ka1  Ka2  Kb1  
  3.3138  3.3111  3.5896
#S 20 Ca
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  3.69168  3.68809  4.0127  0.3413  0.3413  0.3449
#S 21 Sc
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  4.0906  4.0861  4.4605  0.3954  0.3954  0.3996
#S 22 Ti
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  4.51084  4.50486  4.93181  0.4522  0.4522  0.4584
#S 23 V
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  4.95220  4.94464  5.42729  0.5113  0.5113  0.5192
#S 24 Cr
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  5.41472  5.405509  5.94671  0.5728  0.5728  0.5828
#S 25 Mn
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  5.89875  5.88765  6.49045  0.6374  0.6374  0.6488
#S 26 Fe
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  6.40384  6.39084  7.05798  0.7050  0.7050  0.7185
#S 27 Co
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  6.93032  6.91530  7.64943  0.7762  0.7762  0.7914
#S 28 Ni
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  7.47815  7.46089  8.26466  0.8515  0.8515  0.8688
#S 29 Cu
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  8.04778  8.02783  8.90529  0.9297  0.9297  0.9498
#S 30 Zn
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  8.63886  8.61578  9.5720  1.0117  1.0117  1.0347
#S 31 Ga
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  9.25174  9.22482  10.2642  1.09792  1.09792  1.1248
#S 32 Ge
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  9.88642  9.85532  10.9821  1.18800  1.18800  1.2185
#S 33 As
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  10.54372  10.50799  11.7262  1.2820  1.2820  1.3170
#S 34 Se
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  11.2224  11.1814  12.4959  1.37910  1.37910  1.41923
#S 35 Br
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  11.9242  11.8776  13.2914  1.48043  1.48043  1.52590
#S 36 Kr
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  12.649  12.598  14.112  1.5860  1.5860  1.6366
#S 37 Rb
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  13.3953  13.3358  14.9613  1.69413  1.69256  1.75217
#S 38 Sr
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  14.1650  14.0979  15.8357  1.80656  1.80474  1.87172
#S 39 Y
#N 6
#L Ka1  Ka2  Kb1  La1  La2  Lb1  
  14.9584  14.8829  16.7378  1.92256  1.92047  1.99584
#S 40 Zr
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
  15.7751  15.6909  17.6678  2.04236  2.0399  2.1244  2.2194  2.3027
#S 41 Nb
#N 8
#L Ka1  Ka2  Kb1  La1  La2  Lb1  Lb2  Lg1  
